instance	true	probability
42126309276	0	-1.7
42122743918	0	-1.42
42117511532	0	-1.48
42110044386	0	-1.42
42101211823	0	-1.88
42134163438	0	-1.54
42110168941	0	-1.18
42110248294	0	-1.48
42102068788	0	-2.12
42089745515	0	-1.66
42125467114	0	-0.94
42103773717	0	-1.54
42128905697	0	-1.68
42120198353	0	-1.48
42107933218	0	-1.58
42104185097	0	-1.5
42095792649	0	-1.4
42108574373	0	-1.56
42133973761	0	-1.26
42088072663	0	-1.8
42112894767	0	-1.38
42119464722	0	-1.26
42112384612	0	-1.24
42091286879	0	-1.72
42122232965	0	-2.48
42099139295	0	-1.8
42118163188	0	-1.26
42126614140	0	-1.56
42131279663	0	-1.6
42109846268	0	-1.9
42112808881	0	-1.02
42090315497	0	-1.64
42111123259	0	-1.64
42093549405	0	-1.52
42108992869	0	-1.24
42094767243	0	-1.3
42134246861	0	-1.64
42126767935	0	-1.36
42122710288	0	-1.34
42118869559	0	-1.2
42103562320	0	-1.68
42118702574	0	-1.46
42130995579	0	-1.14
42132974794	1	-1.76
42103339117	0	-1.4
42097456000	0	-1.72
42091335527	0	-1.34
42132463691	0	-1.08
42132900443	0	-1.14
42119179017	0	-1.42
42100289852	0	-1.62
42097303632	0	-1.3
42089146674	0	-1.16
42095722495	0	-1.24
42092521588	0	-1.1
42094270500	0	-1.54
42122462938	0	-1.62
42118927928	0	-1.5
42093337273	0	-1.08
42116990573	0	-1.36
42104675443	0	-1.9
42101186184	0	-1.6
42130548280	0	-1.62
42097423426	0	-0.98
42101794455	0	-1.04
42133707672	0	-1.64
42112002398	0	-1.26
42127286256	0	-1.52
42103564074	0	-1.32
42093681178	0	-1.62
42090927886	0	-1.7
42097160885	0	-2.64
42109298343	0	-1.7
42099716161	0	-1.16
42095417346	0	-1.48
42131537964	0	-1.36
42093488438	0	-1.52
42101580056	0	-0.92
42113668011	0	-1.54
42129336693	0	-1.56
42109444114	0	-1.7
42089717748	0	-1.4
42123262880	0	-1.04
42103429016	0	-1.38
42103144215	0	-1.74
42121005574	0	-1.62
42102851505	0	-1.42
42107766363	0	-1.22
42134067113	0	-1.18
42114511973	0	-1.88
42088650618	0	-1.42
42116322820	0	-1.46
42114408761	0	-1.7
42109123687	0	-2.0
42091741620	0	-1.96
42089362147	0	-2.02
42119642922	0	-1.76
42118972394	0	-1.48
42123173379	0	-1.56
42132310785	0	-2.26
42133584383	0	-1.36
42107974072	0	-1.54
42093824925	0	-1.74
42117032012	0	-0.8
42101412353	0	-1.48
42127673771	0	-1.64
42098071617	0	-1.66
42132637374	0	-1.32
42117501779	0	-1.74
42117064678	0	-1.98
42119760028	0	-1.14
42097466535	0	-1.36
42126047777	0	-1.26
42098624027	0	-1.4
42103811860	0	-1.42
42125272863	0	-0.9
42129569393	0	-1.8
42096573269	0	-1.44
42096000332	0	-1.52
42090680212	0	-1.92
42121926264	0	-1.66
42123189793	0	-1.52
42103117191	0	-1.42
42134309321	0	-1.48
42104952383	0	-1.64
42099100595	0	-2.12
42107190123	0	-1.64
42125041832	1	-1.22
42133711674	0	-1.78
42109141099	0	-1.7
42104243588	0	-1.8
42100560021	0	-1.08
42102462352	0	-1.8
42101646254	0	-1.62
42097687175	0	-1.68
42106571351	0	-1.22
42107090801	0	-1.82
42115794242	0	-1.32
42117735495	0	-1.12
42090006064	0	-1.64
42098644230	0	-1.32
42110563356	0	-1.7
42121428399	0	-1.52
42093078743	0	-2.14
42090338163	0	-1.76
42127900617	0	-1.18
42103551341	0	-1.2
42121512322	0	-1.58
42130477868	0	-1.58
42111223867	1	-0.54
42109093347	1	-1.12
42108564292	0	-1.56
42122243902	0	-1.56
42107399504	0	-1.4
42089561185	0	-1.06
42129745288	1	-1.5
42099204814	0	-1.48
42134066625	0	-2.08
42112111818	0	-2.22
42134471880	0	-1.26
42100690919	0	-2.08
42132576474	0	-0.78
42092888373	0	-1.62
42123121901	0	-1.2
42130134543	0	-1.8
42087580336	0	-1.48
42092355133	0	-1.7
42112676884	0	-1.36
42109844620	0	-1.5
42128689747	0	-1.8
42094892247	0	-1.34
42127144114	0	-1.16
42113923352	0	-1.3
42132707239	0	-1.54
42097399956	0	-1.38
42087825238	0	-2.02
42091043576	0	-2.5
42108617951	0	-1.24
42130184892	0	-2.42
42126420473	0	-1.38
42111005922	0	-1.4
42088338528	0	-1.3
42098531668	0	-1.64
42102029906	0	-1.54
42107965785	0	-1.24
42115692484	0	-1.26
42097944566	0	-1.34
42110349943	0	-1.58
42114187467	0	-2.66
42107064943	0	-1.82
42088425529	0	-1.48
42099748778	0	-1.5
42128456303	0	-1.46
42129650663	0	-1.76
42132685979	0	-1.82
42111251184	0	-1.58
42133639080	0	-1.58
42130156778	0	-1.68
42120771329	0	-1.42
42120403451	0	-1.7
42129998858	0	-1.78
42124579867	0	-1.04
42095004500	0	-1.24
42113470096	0	-1.78
42129695828	0	-1.84
42113004444	0	-1.06
42089411832	0	-1.22
42121106490	0	-1.34
42099086856	0	-1.42
42134417175	0	-2.98
42124232918	0	-1.52
42127737954	0	-1.46
42114508231	0	-1.88
42104364581	0	-1.4
42104996050	0	-1.56
42115934293	0	-1.24
42112440809	0	-1.2
42133834934	0	-1.36
42101925118	0	-1.32
42107372057	0	-1.4
42089787250	0	-1.82
42113133254	0	-1.74
42116267683	0	-1.46
42092448273	0	-2.58
42108084477	0	-1.94
42128651434	0	-1.52
42087840203	0	-1.22
42098380204	0	-2.92
42096729112	0	-1.16
42093207097	0	-1.7
42105537579	0	-1.24
42118990441	0	-1.4
42098569639	0	-1.24
42120650632	0	-1.58
42124680919	0	-2.2
42112227311	0	-1.72
42132787291	0	-1.34
42121086053	0	-1.6
42124955163	0	-1.84
42120507523	0	-1.3
42095735185	0	-1.06
42119931446	0	-1.34
42119220138	0	-1.28
42105710192	0	-1.26
42095441594	0	-1.7
42125278884	0	-1.8
42133002038	0	-1.4
42132079106	0	-1.6
42099100247	0	-1.86
42126534907	0	-1.0
42115238946	0	-0.94
42120772379	0	-1.66
42101517152	0	-1.38
42125536116	0	-2.66
42125940064	0	-1.66
42107355894	0	-0.68
42123135794	0	-1.24
42121365045	0	-1.52
42106318929	0	-1.48
42087106940	0	-1.28
42130003495	0	-1.56
42130819091	0	-1.46
42106689463	0	-1.56
42104535078	0	-1.26
42126062194	0	-1.26
42126415839	0	-1.58
42127678132	0	-1.3
42130360461	0	-1.82
42106878142	0	-1.44
42133769463	0	-1.76
42122738618	0	-1.7
42089404221	0	-2.02
42099735034	0	-1.86
42130637518	0	-1.68
42128346325	0	-1.96
42116930004	0	-1.34
42109109622	0	-1.48
42129284408	0	-2.06
42123155426	0	-1.76
42131969239	0	-1.1
42110395925	0	-1.52
42096690768	0	-1.3
42103619781	0	-1.48
42093235525	0	-1.4
42120099309	0	-1.44
42116408455	0	-1.34
42094062819	0	-1.02
42119865911	0	-1.48
42132651153	0	-1.5
42110721372	0	-1.12
42107960436	0	-1.22
42098673078	0	-1.68
42109013755	0	-1.46
42094338160	0	-1.6
42126277093	0	-1.98
42114930568	0	-1.34
42111842007	0	-1.74
42113912627	0	-1.6
42111875711	0	-2.18
42101664296	0	-1.56
42113406865	0	-1.66
42129924943	0	-1.3
42087574551	0	-1.62
42119766667	0	-1.3
42095495321	0	-1.64
42090463825	0	-1.6
42129850085	0	-1.26
42126762136	0	-1.88
42123905659	0	-1.5
42126369594	0	-1.62
42128859491	0	-1.04
42108400333	0	-1.24
42122714721	0	-1.14
42090031839	0	-1.8
42086924609	0	-1.72
42098471898	0	-2.1
42094882108	0	-1.38
42120200440	0	-1.58
42110236093	0	-1.7
