instance	true	assigned	probability
47178606917	1	1	-1.22
47178773926	1	1	-1.22
47178841109	1	1	-1.66
47178960436	1	1	-1.48
47179068785	1	1	-0.9
47179069014	1	1	-0.42
47179132627	1	1	-1.34
47179206653	1	1	-0.38
47179220107	1	1	-1.36
47179279853	1	1	-1.32
47179693366	1	1	-1.34
47179732451	1	1	-1.04
47179750638	1	1	-1.34
47180085103	1	1	-1.42
47180922022	1	1	-1.46
47181066546	1	1	-0.7
47181593884	1	1	-0.42
47181701468	1	1	0.02
47181771205	1	1	-0.38
47182655921	1	1	-0.7
47182658018	1	1	-1.66
47182898798	1	1	-1.28
47182907115	1	1	-1.36
47183440614	1	1	-0.52
47183567437	1	1	-1.32
47183778372	1	1	-1.12
47183807291	1	1	-0.42
47183934216	1	1	-1.22
47184012708	1	1	-0.94
47184433937	1	1	-1.74
47184458190	1	1	-0.78
47184866255	1	1	-0.38
47185071065	1	1	0.14
47185174418	1	1	-0.64
47185639136	1	1	0.18
47186094264	1	1	0.86
47186220587	1	1	-0.32
47186611991	1	1	-1.3
47187132138	1	1	-1.46
47187259912	1	1	-1.34
47187987908	1	1	-0.42
47187991768	1	1	-0.72
47188346843	1	1	-1.46
47189057911	1	1	-1.36
47189157674	1	1	-1.36
47189179530	1	1	-0.56
47189866720	1	1	-0.68
47189995395	1	1	-0.44
47190581421	1	1	-0.74
47191035086	1	1	-1.46
47191615042	1	1	-1.12
47191630895	1	1	-0.38
47191896689	1	1	-0.62
47192004498	1	1	-1.46
47192158403	1	1	-1.3
47192281015	1	1	-1.2
47193087845	1	1	-1.74
47193342449	1	1	-1.6
47193746582	1	1	-1.36
47194022418	1	1	-1.0
47194209023	1	1	-1.36
47194631055	1	1	-1.32
47195255330	1	1	-1.1
47195371139	1	1	-1.48
47195528995	1	1	-1.4
47195569328	1	1	-1.14
47195833133	1	1	-0.78
47196077781	1	1	-0.48
47197096831	1	1	-1.1
47197693992	1	1	-1.1
47197705098	1	1	-1.4
47197843660	1	1	-1.64
47197965720	1	1	-1.4
47197988931	1	1	-1.7
47198149530	1	1	-1.1
47198286930	1	1	-1.2
47198940523	1	1	-1.34
47198972741	1	1	-1.38
47199027718	1	1	-1.64
47199677740	1	1	-1.2
47199849768	1	1	-1.48
47200176994	1	1	-1.54
47200308025	1	1	-2.12
47200364917	1	1	-1.7
47200759018	1	1	-0.94
47201149371	1	1	0.62
47201246717	1	1	-1.64
47201509732	1	1	-1.4
47201698042	1	1	-1.3
47201935394	1	1	-0.7
47202147956	1	1	-1.08
47202841470	1	1	-1.14
47202936441	1	1	-0.34
47202996933	1	1	0.64
47203899808	1	1	-1.42
47204016179	1	1	-0.5
47204597728	1	1	-0.62
47204986132	1	1	-0.96
47205726967	1	1	-1.44
47206131110	1	1	-1.26
47207159646	1	1	-1.02
47207527347	1	1	-0.84
47208321004	1	1	-1.28
47210165531	1	1	-0.14
47210999959	1	1	-1.02
47211834164	1	1	-1.04
47211923786	1	1	-1.0
47213698535	1	1	-1.12
47214028412	1	1	-1.18
47214682799	1	1	-0.48
47215081244	1	1	-1.22
47215326755	1	1	-1.1
47216820052	1	1	-1.16
47217947415	1	1	-0.42
47218090138	1	1	-0.8
47220723914	1	1	-1.06
47221817397	1	1	-0.14
47222657801	1	1	-0.2
47176031229	1	1	-0.9
47178269852	1	1	-1.32
47179107501	1	1	-1.48
47180825551	1	1	-1.26
47183544189	1	1	-0.9
47186311367	1	1	-0.1
47186778143	1	1	-1.2
47187420264	1	1	-0.56
47188462498	1	1	-0.12
47188655377	1	1	-0.26
47189179924	1	1	0.08
47189369746	1	1	0.3
47190258077	1	1	-0.46
47193333380	1	1	-1.22
47193473369	1	1	-0.36
47193985484	1	1	-0.7
47194875579	1	1	-1.7
47195067739	1	1	-1.36
47195106093	1	1	-0.84
47195239974	1	1	-1.0
47195490437	1	1	-0.4
47195842309	1	1	-1.02
47196075955	1	1	-1.46
47196169956	1	1	-1.14
47196981600	1	1	-1.62
47197737957	1	1	-0.44
47198495514	1	1	-0.5
47198514006	1	1	-0.36
47199375458	1	1	-1.26
47199623833	1	1	-1.44
47200723466	1	1	-1.48
47200731981	1	1	-1.18
47201285985	1	1	-0.6
47201536034	1	1	-1.58
47205460255	1	1	-1.22
47206011487	1	1	-0.66
47206619230	1	1	-0.68
47209764368	1	1	-1.3
47210054763	1	1	-1.46
47210763134	1	1	0.12
47213795138	1	1	-0.3
47213981461	1	1	-0.92
47215106161	1	1	1.08
47215758117	1	1	-0.9
47216815352	1	1	-2.36
47216851863	1	1	-1.94
47217002890	1	1	-2.22
47217292442	1	1	-1.44
47217300437	1	1	-1.72
47217304761	1	1	-2.04
47217442434	1	1	-1.2
47217649999	1	1	-0.7
47218254331	1	1	-1.4
47218338883	1	1	-1.3
47218340947	1	1	-1.5
47221174788	1	1	-0.52
47129578336	1	1	-1.56
47129989641	1	1	-1.48
47130588021	1	1	-2.28
47131380060	1	1	-0.26
47131787411	1	1	-1.0
47133929096	1	1	-1.2
47135471918	1	1	-0.4
47136503529	1	1	-1.92
47137562353	1	1	-1.22
47138501152	1	1	-1.24
47138719842	1	1	-1.58
47139621927	1	1	0.5
47142290396	1	1	-1.72
47142628612	1	1	0.44
47145083103	1	1	-0.84
47145148837	1	1	-1.6
47147980919	1	1	-1.02
47148349459	1	1	-0.72
47148529732	1	1	-1.04
47148653734	1	1	-1.48
47150217330	1	1	-0.64
47151035039	1	1	-0.36
47151233547	1	1	-1.3
47151473986	1	1	-1.04
47151589271	1	1	-1.02
47152580196	1	1	-1.22
47152603163	1	1	-1.18
47152754422	1	1	0.8
47152975393	1	1	-1.34
47153167513	1	1	-1.22
47153493442	1	1	-1.6
47153592122	1	1	-1.04
47153672582	1	1	-1.38
47154303873	1	1	-1.12
47154544917	1	1	-0.82
47154880511	1	1	-1.22
47154887329	1	1	-1.36
47155354712	1	1	-1.02
47160438514	1	1	-1.32
47161037674	1	1	-0.52
47166751216	1	1	-1.14
47166773302	1	1	-1.16
47167556248	1	1	-1.02
47172741837	1	1	-1.02
47174739393	1	1	-1.06
47073311805	1	1	-1.1
47073312344	1	1	-1.16
47075775336	1	1	-1.34
47075812903	1	1	-1.56
47076283073	1	1	-1.7
47076286207	1	1	-1.7
47076376918	1	1	-1.2
47080722504	1	1	-0.6
47081623855	1	1	-1.4
47081999612	1	1	-1.4
47084402176	1	1	-1.4
47086053610	1	1	-1.24
47090502094	1	1	-1.12
47091191572	1	1	-1.4
47093912600	1	1	-0.98
47095942761	1	1	-0.96
47101291867	1	1	-1.72
47101505973	1	1	-1.1
47101812903	1	1	-1.08
47101905318	1	1	-1.24
47102633593	1	1	-1.2
47103718181	1	1	-1.2
47104041522	1	1	-0.32
47104565120	1	1	-0.9
47106056944	1	1	-1.24
47106485295	1	1	-1.18
47106681336	1	1	-1.4
47107776078	1	1	-1.4
47108298210	1	1	-1.14
47108342803	1	1	-1.26
47108343126	1	1	-0.98
47108344082	1	1	-1.2
47108345979	1	1	-1.46
47108406517	1	1	-1.28
47108409296	1	1	-1.32
47108452056	1	1	-1.52
47108452361	1	1	-1.2
47108457499	1	1	-1.38
47108477431	1	1	-1.28
47108522769	1	1	-1.28
47108523694	1	1	-1.28
47108580029	1	1	-1.12
47108593749	1	1	-1.28
47108600006	1	1	-1.52
47108618576	1	1	-1.4
47108621047	1	1	-1.06
47108629596	1	1	-1.14
47108656169	1	1	-1.22
47108680780	1	1	-1.38
47108682849	1	1	-1.58
