instance	true	assigned	probability
47112372025	1	1	-0.58
47112382445	1	1	-0.58
47112388845	1	1	-0.58
47112427890	1	1	-0.58
47113578900	1	1	-0.58
47114426325	1	1	-0.58
47117705854	1	1	-0.58
47117975494	1	1	-0.58
47118299715	1	1	-0.58
47120151360	1	1	-0.58
47120219147	1	1	-0.56
47120316955	1	1	-0.58
47120341285	1	1	-0.58
47120397234	1	1	-0.58
47120689091	1	1	-0.58
47120894264	1	1	-0.58
47121387917	1	1	-0.58
47122023926	1	1	-0.58
47122188741	1	1	-0.58
47122922465	1	1	-0.58
47123097861	1	1	-0.58
47123160855	1	1	-0.58
47123294940	1	1	-0.58
47123877509	1	1	-0.58
47124524329	1	1	-0.58
47124965844	1	1	-0.58
47125016347	1	1	-0.58
47125730412	1	1	-0.58
46921335725	1	1	-0.58
46922633675	1	1	-0.58
46925218234	1	1	-0.58
46927369624	1	1	-0.58
46927402522	1	1	-0.58
46928255819	1	1	-0.58
46934413479	1	1	-0.58
46934631859	1	1	-0.58
46935834677	1	1	-0.58
46936501440	1	1	-0.58
46936922206	1	1	-0.58
46937089290	1	1	-0.58
46937699394	1	1	-0.58
46937986816	1	1	-0.58
46938094314	1	1	-0.58
46939205588	1	1	-0.58
46939880414	1	1	-0.58
46940088278	1	1	-0.58
46940377227	1	1	-0.58
46940638282	1	1	-0.58
46941032472	1	1	-0.58
46941153511	1	1	-0.58
46941498259	1	1	-0.58
46942064366	1	1	-0.58
46943375379	1	1	-0.58
46943448882	1	1	-0.58
46943548187	1	1	-0.58
46943549751	1	1	-0.58
46943683671	1	1	-0.58
46943839056	1	1	-0.58
46944298214	1	1	-0.58
46944577296	1	1	-0.58
46945533552	1	1	-0.58
46945740571	1	1	-0.58
46946035164	1	1	-0.58
46946146897	1	1	-0.58
46946366559	1	1	-0.58
46946572597	1	1	-0.58
46946812493	1	1	-0.54
46947147039	1	1	-0.58
46947325932	1	1	-0.58
46948338060	1	1	-0.58
46948350394	1	1	-0.58
46950090065	1	1	-0.58
46953228165	1	1	-0.58
46953448725	1	1	-0.58
46954549881	1	1	-0.58
46954558026	1	1	-0.58
46954560898	1	1	-0.6
46954784295	1	1	-0.58
46954854123	1	1	-0.58
46955053917	1	1	-0.58
46955183244	1	1	-0.58
46955223980	1	1	-0.58
46955431114	1	1	-0.58
46955432810	1	1	-0.58
46955471303	1	1	-0.58
46955488964	1	1	-0.58
46955926907	1	1	-0.58
46956030586	1	1	-0.58
46956110021	1	1	-0.58
46957575883	1	1	-0.58
46957582168	1	1	-0.58
46958478757	1	1	-0.58
46958791480	1	1	-0.58
46959835346	1	1	-0.58
46960031104	1	1	-0.58
46960173077	1	1	-0.58
46960201888	1	1	-0.58
46960256331	1	1	-0.58
46960498001	1	1	-0.58
46960662744	1	1	-0.58
46961832192	1	1	-0.58
46962752008	1	1	-0.64
46963487755	1	1	-0.58
46963952538	1	1	-0.58
46967783776	1	1	-0.58
46875361111	1	1	-0.58
46875820471	1	1	-0.58
46877713546	1	1	-0.58
46878517392	1	1	-0.58
46878822283	1	1	-0.58
46880248411	1	1	-0.58
46882193832	1	1	-0.58
46883783012	1	1	-0.58
46883825723	1	1	-0.58
46884243637	1	1	-0.56
46884271537	1	1	-0.58
46884315352	1	1	-0.58
46884326716	1	1	-0.58
46884572656	1	1	-0.58
46884578929	1	1	-0.58
46884579930	1	1	-0.58
46885060789	1	1	-0.58
46885672290	1	1	-0.58
46885705298	1	1	-0.58
46886668005	1	1	-0.58
46886678587	1	1	-0.58
46886991094	1	1	-0.58
46886998093	1	1	-0.54
46887008214	1	1	-0.6
46887010023	1	1	-0.6
46887123050	1	1	-0.58
46887317380	1	1	-0.64
46887355347	1	1	-0.58
46887375317	1	1	-0.64
46887457732	1	1	-0.58
46887494926	1	1	-0.58
46889407115	1	1	-0.58
46890014061	1	1	-0.58
46890236180	1	1	-0.58
46890237173	1	1	-0.58
46890238495	1	1	-0.58
46890283842	1	1	-0.58
46891758897	1	1	-0.58
46891947218	1	1	-0.58
46892538786	1	1	-0.58
46893645810	1	1	-0.58
46893648940	1	1	-0.58
46893653938	1	1	-0.58
46893665446	1	1	-0.58
46893668097	1	1	-0.58
46893670849	1	1	-0.58
46893726283	1	1	-0.58
46893753074	1	1	-0.58
46893781237	1	1	-0.58
46893796496	1	1	-0.58
46894018413	1	1	-0.58
46894362777	1	1	-0.58
46894467262	1	1	-0.58
46894475630	1	1	-0.58
46894553341	1	1	-0.58
46895078156	1	1	-0.58
46895106539	1	1	-0.58
46895331666	1	1	-0.58
46896524416	1	1	-0.58
46896807075	1	1	-0.58
46896956514	1	1	-0.58
